Transaction_id,customer_id,Date,Product,Gender,Device_Type,Category,Customer_Login_type,Delivery_Type,Quantity,Amount US$,Individual_Price_US$
40170,1348959766,11/14/2013,Hair Band,Female,Web,Accessories,Member,one-day deliver,12,"6,910",576
76028,1645228017,12/21/2013,Jean,Female,Web,Clothing,Guest,one-day deliver,16,641,40
17894,1610000572,10/10/2013,Shirt,Male,Web,Clothing,Member,one-day delivery,12,"1,647",137
17949,2217960309,10/10/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,17,0,0
17951,2219304866,10/10/2013,Shirts,Male,Web,Clothing,Member,one-day deliver,22,"5,298",241
18016,1980331295,10/10/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,19,"4,509",237
18902,1847892475,10/12/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,20,0,0
18967,1649911553,10/13/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,17,"1,499",88
19180,1903809905,10/13/2013,Shirt,Male,Web,Clothing,Member,one-day delivery,16,"2,000",125
19203,1411855932,10/13/2013,Shirts,Male,Web,Clothing,Member,one-day delivery,21,"3,260",155
19340,1769953196,10/13/2013,Shirts,Male,Web,Clothing,Member,one-day delivery,19,"17,837",939
19404,1568148818,10/14/2013,Shirts,Male,Web,Clothing,Member,one-day delivery,14,"1,016",73
19427,1751652831,10/14/2013,Shirts,Male,Web,Clothing,Member,one-day delivery,14,"4,628",331
19592,2231859892,10/14/2013,Shirts,Male,Web,Clothing,Member,one-day deliver,20,570,29
19932,1535745421,10/15/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,12,"3,000",250
20055,1922087137,10/15/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,22,"5,573",253
20315,2262467094,10/15/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,19,"5,349",282
20321,2268641437,10/15/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,16,"2,500",156
20436,1727052876,10/15/2013,Shirts,Male,Web,Clothing,Member,Normal Delivery,15,"6,900",460
20535,1674613702,10/15/2013,Shirts,Male,Web,Clothing,Member,one-day deliver,21,"1,794",85
20693,1921733731,10/16/2013,Shirts,Male,Web,Clothing,Member,one-day deliver,12,"6,000",500
22314,1936150747,10/18/2013,Shirts,Male,Web,Clothing,Member,one-day deliver,20,584,29
22421,1229841159,10/18/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,21,"5,217",248
22458,1586690479,10/19/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,13,300,23
22682,1848085677,10/19/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,16,"1,999",125
22740,1872369353,10/19/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,16,699,44
22907,1519749240,10/19/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,18,499,28
23261,1439048077,10/20/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,21,"7,395",352
23490,1361902722,10/20/2013,Shirt,Male,Web,Clothing,Member,one-day delivery,13,"1,999",154
23501,1535495415,10/20/2013,Shirt,Male,Web,Clothing,Member,one-day delivery,22,299,14
23647,1426412764,10/21/2013,Shirt,Male,Web,Clothing,Member,one-day delivery,15,0,0
24184,2089909446,10/22/2013,Shirt,Male,Web,Clothing,Member,one-day delivery,18,"1,499",83
